"Provider number","Network","Facility name","Address line 1","Address line 2","City","State","Zip","County","Phone number","Profit or Non-Profit","Chain owned","Chain organization","ICH-CAHPS date","ICH-CAHPS data availability code","Lower box percent of patients nephrologists’ communication and caring","Middle box percent of patients nephrologists’ communication and caring","Top box percent of patients nephrologists’ communication and caring","Linearized score of Nephrologists’ communication and caring","Star rating of Nephrologists' communication and caring","Lower box percent of patients-quality of dialysis center care and operations","Middle box percent of patients-quality of dialysis center care and operations","Top box percent of patients-quality of dialysis center care and operations","Linearized score of quality of dialysis center care and operations","Star rating of quality of dialysis center care and operations","Lower box percent of patients-providing information to patients","Top box percent of patients providing information to patients","Linearized score of providing information to patients","Star rating of providing information to patients","Lower box percent of patients-rating of the nephrologist","Middle box percent of patients- rating of the nephrologist","Top box percent of patients- rating of the nephrologist","Linearized score of rating of the nephrologist","Star rating of the nephrologist","Lower box percent of patients-rating of the dialysis center staff","Middle box percent of patients-rating of the dialysis center staff","Top box percent of patients-rating of the dialysis center staff","Linearized score of rating of the dialysis center staff","Star rating of the dialysis center staff","Lower box percent of patients-rating of the dialysis facility","Middle box percent of patients-rating of the dialysis facility","Top box percent of patients-rating of the dialysis facility","Linearized score of rating of the dialysis facility","Star rating of the dialysis facility","Total number of completed interviews from the Fall and Spring Surveys","ICH CAHPS Quality of patient care star rating"
"342641","06","ROCKINGHAM KIDNEY CENTER","2206 BARNES STREET","","REIDSVILLE","NC","27320","ROCKINGHAM","(336) 616-1611","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"342642","06","FMCNA SOUTHWEST WAKE DIALYSIS","320 GIDEON CREEK WAY","","RALEIGH","NC","27603","WAKE","(919) 771-1022","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","001","21","21","58","77","2","18","23","59","80","3","19","81","81","4","17","37","46","79","2","13","36","51","83","3","11","30","59","85","3","61","3"
"342643","06","FMC OF WEST FAYETTEVILLE","6959 NEXUS COURT","","FAYETTEVILLE","NC","28304","CUMBERLAND","(910) 867-2602","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","001","28","16","56","73","1","34","22","44","67","1","26","74","74","2","21","35","44","78","2","35","23","42","71","1","33","23","44","74","1","73","1"
"342644","06","FRESENIUS MEDICAL CARE OF SPRING HOPE","102 DODD STREET","","SPRING HOPE","NC","27882","NASH","(252) 478-4091","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"342645","06","MCDOWELL COUNTY DIALYSIS","100 SPAULDING ROAD # 2","","MARION","NC","28752","MCDOWELL","(828) 659-9790","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"342646","06","FMC NEW HOPE DIALYSIS","835 SOUTH NEW HOPE ROAD","","RALEIGH","NC","27610","WAKE","(919) 231-3700","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","001","41","16","43","63","1","34","17","49","69","1","32","68","68","1","35","37","28","71","1","23","40","37","76","1","35","26","39","74","1","53","1"
"342647","06","FMS DIALYSIS SERVICES OF OXFORD","1620 WILLIAMSBORO STREET","","OXFORD","NC","27565","GRANVILLE","(919) 693-7507","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","001","16","9","75","84","4","17","14","69","83","4","14","86","86","5","16","25","59","83","3","11","13","76","88","4","12","9","79","90","4","38","4"
"342648","06","FRESENIUS MEDICAL CARE OF LILLINGTON","1605 SOUTH MAIN STREET","","LILLINGTON","NC","27546","HARNETT","(910) 814-1800","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"342649","06","SMOKEY MOUNTAIN DIALYSIS DENOVO FACILITY","1611 ANDREWS RD","","MURPHY","NC","28906","CHEROKEE","(828) 835-4910","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"342650","06","GREENE COUNTY DIALYSIS CENTER","1025 KINGOLD BLVD","","SNOW HILL","NC","28580","GREENE","(252) 747-9987","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","001","9","10","81","90","5","16","15","69","83","4","16","84","84","4","7","29","64","87","4","7","10","83","89","4","4","13","83","93","5","30","4"
"342651","06","MAXTON DIALYSIS CENTER","202 E DR.  MARTIN LUTHER KING JR.  DR","","MAXTON","NC","28364","ROBESON","(910) 844-2336","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"342652","06","BELMONT DIALYSIS CENTER","5010 MEDICAL CARE COURT","","BELMONT","NC","28012","GASTON","(704) 827-2931","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","001","25","16","59","76","2","15","26","59","80","3","24","76","76","3","19","24","57","82","3","10","37","53","84","3","11","15","74","90","4","41","3"
"342653","06","FMS SIX FORKS DIALYSIS CLINIC","3411 WEST MILLBROOK RD","","RALEIGH","NC","27613","WAKE","(919) 781-8974","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"342654","06","INDEPENDENT NEPHROLOGY SERVICES HUNTERSVILLE","9920 KINCEY AVENUE STE 140","","HUNTERSVILLE","NC","28078","MECKLENBURG","(704) 947-2341","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","102","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"342655","06","INDEPENDENT NEPHROLOGY SERVICES CHARLOTTE","8430 UNIVERSITY EXECUTIVE PARK DR STE 690","","CHARLOTTE","NC","28262","MECKLENBURG","(704) 717-2825","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","102","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"342656","06","INDEPENDENT NEPHROLOGY SERVICES IREDELL COUNTY","124 PROFESSIONAL PARK DRIVE SUITE B","","MOORESVILLE","NC","28117","IREDELL","(704) 663-3534","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","102","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"342657","06","INS STATESVILLE","2603 DAVIE AVENUE","","STATESVILLE","NC","28625","IREDELL","(704) 878-6590","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","102","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"342658","06","FRESENIUS MEDICAL CARE APEX","1000 AMERICAN WAY","","APEX","NC","27502","WAKE","(919) 387-2898","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","001","11","11","78","88","5","15","16","69","84","4","11","89","89","5","5","24","71","90","4","0","18","82","93","5","0","21","79","94","5","32","5"
"342659","06","WALLACE DIALYSIS","5650 S OLD NC 41 HWY","","WALLACE","NC","28466","DUPLIN","(910) 285-6424","Non-Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","001","15","12","73","85","4","18","8","74","85","4","11","89","89","5","2","31","67","91","4","8","24","68","90","4","3","22","75","92","4","35","4"
"342660","06","MAYLAND DIALYSIS CENTER","575 ALTAPASS HWY","","SPRUCE PINE","NC","28777","MITCHELL","(828) 766-8122","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"342661","06","DIALYSIS CLINIC, INC","108 CREEKSIDE DR","","SHELBY","NC","28150","CLEVELAND","(704) 434-2291","Profit","Yes","DIALYSIS CLINIC, INC.","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"342662","06","FRESENIUS MEDICAL CARE ST PAULS","153 EAST MCLEAN ST","","ST PAULS","NC","28358","ROBESON","(910) 865-3086","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"342663","06","NORTH CHARLOTTE","6620 OLD STATESVILLE ROAD","","CHARLOTTE","NC","28269","MECKLENBURG","(704) 599-1355","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","001","27","17","56","74","2","32","19","49","69","1","26","74","74","2","20","38","42","77","1","26","31","43","76","1","26","27","47","77","1","80","1"
"342664","06","FRESENIUS MEDICAL CARE SCOTLAND COUNTY DIALYSIS","1061 ABERDEEN ROAD","","LAURINBURG","NC","28353","SCOTLAND","(910) 277-3592","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"342665","06","YADKIN DIALYSIS CENTER OF WAKE FOREST UNIVERSITY","225 WASHINGTON STREET","","YADKINVILLE","NC","27055","YADKIN","(336) 677-1182","Profit","Yes","WAKE FOREST UNIVERSITY","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"342666","06","MARSHVILLE DIALYSIS CENTER","7260 E MARSHVILLE BLVD","","MARSHVILLE","NC","28103","UNION","(704) 624-5000","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"342667","06","MILLER STREET DIALYSIS CENTER OF WAKE FOREST UNIVERSITY","120 MILLER ST","","WINSTON SALEM","NC","27103","FORSYTH","(336) 724-0468","Non-Profit","Yes","WAKE FOREST UNIVERSITY","04/21/2017 - 01/17/2018","001","16","10","74","84","4","20","17","63","80","3","24","76","76","3","3","24","73","91","4","14","24","62","87","3","14","27","59","86","3","56","3"
"342669","06","SOUTHPORT DIALYSIS CENTER","1513 N HOWE ST STE # 15","","SOUTHPORT","NC","28461","BRUNSWICK","(910) 454-0272","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"342670","06","HARRISBURG DIALYSIS CENTER","3310 PERRY ST","","CONCORD","NC","28027","CABARRUS","(704) 792-1144","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","001","15","11","74","84","4","10","15","75","88","5","15","85","85","4","10","27","63","86","4","2","18","80","93","5","3","16","81","94","5","52","5"
"342671","06","BMA SOUTH GASTON DIALYSIS","710 WEST HUDSON BLVD.","","GASTONIA","NC","28052","GASTON","(704) 867-3417","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","001","33","13","54","70","1","27","15","58","74","2","23","77","77","3","22","39","39","78","2","12","38","50","84","3","12","29","59","85","3","34","2"
"342672","06","FMC EASTERN WAKE","670 GRANITE VISTA DRIVE","","ROLESVILLE","NC","27571","WAKE","(919) 554-1752","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
